Player_name,Date_of_Birth,Position,Age,Place_of_Birth,Nation,Grip,Youth_Team,Height_cm,Height_ft,Weight_kg,Weight_lbs,Awards,Player_link
Sergei Belov,1982-09-27 00:00:00,G,40,"St. Petersburg, RUS",Russia,L,SKA St. Petersburg,180,"5'11""",78,172 lbs,"{""2009-2010"": [""Russia2 Silver Medal""], ""2013-2014"": [""VHL Silver Medal""]}",https://www.eliteprospects.com/player/19555/sergei-belov
Rafael Khakimov,1990-04-06 00:00:00,G,33,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,180,"5'11""",78,172 lbs,"{""2010-2011"": [""MHL All-Star Game"", ""MHL Best GAA  (1.79)"", ""MHL Best Goaltender"", ""MHL Goaltender of the Month  (February)"", ""MHL Goaltender of the Month  (September)""], ""2017-2018"": [""VHL Playoffs Best GAA  (1.39)""], ""2021-2022"": [""VHL Goaltender of the Month  (November)""]}",https://www.eliteprospects.com/player/47547/rafael-khakimov
Vadim Tarasov,1976-12-31 00:00:00,G,46,"Ust-Kamenogorsk, KAZ","Russia
    
            / 
            Kazakhstan",L,Torpedo Ust-Kamenogorsk,183,"6'0""",84,185 lbs,"{""1998-1999"": [""RSL Best Goaltender""], ""1999-2000"": [""RSL Best Goaltender""], ""2000-2001"": [""RSL Best Goaltender""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/11990/vadim-tarasov
Alexander Yeryomenko,1980-04-10 00:00:00,G,43,"Moskva, RUS",Russia,L,Dynamo Moskva,180,"5'11""",78,172 lbs,"{""2004-2005"": [""RSL Champion"", ""World Championship Bronze Medal""], ""2005-2006"": [""RSL Champion""], ""2006-2007"": [""World Championship Best GAA  (0.98)"", ""World Championship Best SVS%  (.957)"", ""World Championship Bronze Medal""], ""2007-2008"": [""RSL Champion"", ""World Championship Gold Medal""], ""2008-2009"": [""KHL All-Star Game"", ""KHL Goaltender of the Month  (September)"", ""World Championship Gold Medal""], ""2009-2010"": [""World Championship Silver Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""KHL Best Goaltender"", ""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Goaltender of the Month  (April)"", ""KHL Goaltender of the Month  (February)"", ""KHL Most Shutouts  (6)"", ""KHL Playoffs Most Shutouts  (3)"", ""KHL Playoffs MVP""], ""2012-2013"": [""KHL Best Goaltender"", ""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Goaltender of the Month  (October)"", ""KHL Playoffs Best GAA  (1.74)"", ""KHL Playoffs MVP""], ""2013-2014"": [""KHL All-Star Game  (Selected, did not play)""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Goaltender of the Week  (Sep. 28)""], ""2015-2016"": [""KHL Goaltender of the Month  (February)""], ""2016-2017"": [""KHL Best GAA  (1.29)"", ""KHL Goaltender of the Month  (December)"", ""KHL Goaltender of the Month  (January)"", ""KHL Goaltender of the Month  (February)"", ""KHL Goaltender of the Week  (Dec. 4)"", ""KHL Goaltender of the Week  (Feb. 19)"", ""KHL Most Shutouts  (9)""], ""2017-2018"": [""KHL Goaltender of the Week  (Sep. 4)""], ""2018-2019"": [""KHL Goaltender of the Week  (Dec. 3)""], ""2020-2021"": [""KHL Best SVS%  (.936)""], ""2021-2022"": [""KHL Faith Towards Hockey Award""]}",https://www.eliteprospects.com/player/12286/alexander-yeryomenko
Miroslav Blatak,1982-05-25 00:00:00,D,41,"Zlin, CZE",Czechia,L,HC Zlin,180,"5'11""",78,172 lbs,"{""2001-2002"": [""Czech Extraliga Bronze Medal"", ""U20 WJC Most Assists by Defenseman  (4)"", ""U20 WJC Most Goals by Defenseman  (3)"", ""U20 WJC Most Points by Defenseman  (7)""], ""2003-2004"": [""Czech Extraliga Champion""], ""2004-2005"": [""Czech Extraliga Silver Medal""], ""2005-2006"": [""Czech and Slovakian Extraliga All-Star Game  (Czech Extraliga)"", ""World Championship Silver Medal""], ""2007-2008"": [""RSL Champion""], ""2008-2009"": [""Champions Hockey League Best Plus/Minus  (+8)""], ""2009-2010"": [""World Championship Gold Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""World Championship Bronze Medal""], ""2013-2014"": [""KHL Nadezhda Cup""]}",https://www.eliteprospects.com/player/8421/miroslav-blatak
Mikhail Chernov,1978-11-11 00:00:00,D,44,"Prokopyevsk, RUS",Russia,R,Shakhter Prokopievsk,188,"6'2""",98,216 lbs,"{""1996-1997"": [""RSL Champion""], ""1997-1998"": [""U20 WJC Silver Medal""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18447/mikhail-chernov
Pavel Doronin,1988-08-21 00:00:00,D,34,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,183,"6'0""",80,176 lbs,"{""2007-2008"": [""RSL Champion"", ""U20 WJC Bronze Medal""], ""2011-2012"": [""VHL Champion""], ""2012-2013"": [""VHL Champion""], ""2013-2014"": [""VHL Defenseman of the Month  (March)""], ""2014-2015"": [""VHL Champion"", ""VHL Faith Towards Hockey Award""]}",https://www.eliteprospects.com/player/15169/pavel-doronin
Sergei Klimentyev,1975-04-05 00:00:00,D,48,"Havanna, CUB",Ukraine,L,Sokol Kiev,190,"6'3""",90,198 lbs,"{""1995-1996"": [""AHL Calder Cup Champion""], ""1998-1999"": [""AHL All-Star Game""], ""1999-2000"": [""World Championship (WCQ|A) Silver Medal""], ""2000-2001"": [""RSL Champion""], ""2005-2006"": [""RSL Champion""], ""2006-2007"": [""World Championship Most Penalized Player  (46)""], ""2007-2008"": [""World Championship (D1|B) Silver Medal""], ""2008-2009"": [""World Championship (D1|B) Silver Medal""], ""2009-2010"": [""World Championship (D1|A) Silver Medal""], ""2010-2011"": [""World Championship (D1|B) Bronze Medal""], ""2011-2012"": [""Ukraine First All-Star team""]}",https://www.eliteprospects.com/player/16737/sergei-klimentyev
Kirill Koltsov,1983-02-01 00:00:00,D,40,"Chelyabinsk, RUS",Russia,L,Traktor Chelyabinsk,178,"5'10""",90,198 lbs,"{""2000-2001"": [""U18 WJC All-Star Team"", ""U18 WJC Best Defenseman"", ""U18 WJC Gold Medal"", ""U18 WJC Most Assists by Defenseman  (6)"", ""U18 WJC Most Points by Defenseman  (7)""], ""2002-2003"": [""U20 WJC Gold Medal""], ""2005-2006"": [""World Championship Top 3 Player on Team""], ""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2011-2012"": [""KHL All-Star Game"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2013-2014"": [""KHL All-Star Game"", ""KHL Best Defenseman"", ""KHL Most Assists by Defenseman  (24)"", ""KHL Most Points by Defenseman  (35)"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Best Defenseman"", ""KHL Defenseman of the Week  (Feb. 22)"", ""KHL Defenseman of the Week  (Nov. 23)"", ""KHL Most Goals by Defenseman  (18)"", ""KHL Most Points by Defenseman  (48)""], ""2016-2017"": [""KHL All-Star Game"", ""KHL Defenseman of the Week  (Dec. 11)""]}",https://www.eliteprospects.com/player/9567/kirill-koltsov
Yegor Kuptsov,1989-03-24 00:00:00,D,34,"Omsk, RUS",Russia,L,Spartakovets Yekaterinburg,188,"6'2""",92,203 lbs,{},https://www.eliteprospects.com/player/24193/yegor-kuptsov
Andrei Kuteikin,1984-09-30 00:00:00,D,38,"Saratov, RUS",Russia,L,Kristall Saratov,189,"6'2""",97,214 lbs,"{""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2014-2015"": [""KHL Gagarin Cup Champion""]}",https://www.eliteprospects.com/player/17975/andrei-kuteikin
Steve McCarthy,1981-02-03 00:00:00,D,42,"Trail, BC, CAN",Canada,L,-,185,"6'1""",95,209 lbs,"{""1996-1997"": [""BCHL (Interior) Best Defenseman""], ""1998-1999"": [""CHL Top Prospects Game""], ""1999-2000"": [""U20 WJC Bronze Medal"", ""WHL (East) First All-Star Team"", ""WHL Champion""], ""2000-2001"": [""U20 WJC Bronze Medal""], ""2011-2012"": [""NLA Champion  (ZSC)"", ""NL Championship Clinching Goal""], ""2013-2014"": [""NLA Champion  (ZSC)""]}",https://www.eliteprospects.com/player/8568/steve-mccarthy
Vitali Proshkin,1976-05-08 00:00:00,D,47,"Elektrostal, RUS",Russia,L,Kristall Elektrostal,191,"6'3""",92,203 lbs,"{""1999-2000"": [""RSL Champion""], ""2004-2005"": [""World Championship Bronze Medal""], ""2005-2006"": [""RSL Champion""], ""2006-2007"": [""World Championship Bronze Medal""], ""2007-2008"": [""RSL Champion"", ""World Championship Gold Medal""], ""2008-2009"": [""KHL All-Star Game"", ""KHL Defenseman of the Month  (January)"", ""World Championship Gold Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""KHL All-Star Game""]}",https://www.eliteprospects.com/player/12454/vitali-proshkin
Vyacheslav Seluyanov,1986-12-15 00:00:00,D,36,"Ufa, RUS",Russia,R,Salavat Yulaev Ufa,176,"5'9""",93,205 lbs,"{""2010-2011"": [""KHL Gagarin Cup Champion""]}",https://www.eliteprospects.com/player/19400/vyacheslav-seluyanov
Igor Shchadilov,1980-06-07 00:00:00,D,43,"Moskva, RUS",Russia,L,Dynamo Moskva,190,"6'3""",94,207 lbs,"{""1999-2000"": [""RSL Champion"", ""U20 WJC Silver Medal""], ""2004-2005"": [""RSL Champion""], ""2005-2006"": [""RSL Champion""], ""2007-2008"": [""RSL Champion""], ""2011-2012"": [""KHL Gagarin Cup Champion""]}",https://www.eliteprospects.com/player/18444/igor-shchadilov
Oleg Tverdovsky,1976-05-18 00:00:00,D,47,"Donetsk, UKR","Russia
    
            / 
            Ukraine",L,-,185,"6'1""",95,209 lbs,"{""1992-1993"": [""U18 EJC Silver Medal""], ""1993-1994"": [""U18 EJC All-Star Team"", ""U18 EJC Silver Medal"", ""U20 WJC Bronze Medal"", ""U20 WJC Most Assists by Defenseman  (5)""], ""1996-1997"": [""NHL All-Star Game""], ""1997-1998"": [""AHL Player of the Week  (Dec. 7)""], ""2001-2002"": [""Olympic Bronze Medal""], ""2002-2003"": [""NHL Stanley Cup Champion""], ""2003-2004"": [""RSL Champion"", ""RSL Most Valuable Player""], ""2005-2006"": [""NHL Stanley Cup Champion""], ""2007-2008"": [""RSL Champion""], ""2008-2009"": [""World Championship Gold Medal"", ""World Championship Top 3 Player on Team""], ""2010-2011"": [""KHL Gagarin Cup Champion""]}",https://www.eliteprospects.com/player/8656/oleg-tverdovsky
Pavel Volodin,1989-02-19 00:00:00,D,34,"Ufa, RUS","Russia
    
            / 
            Kazakhstan",L,Salavat Yulaev Ufa,183,"6'0""",87,192 lbs,"{""2012-2013"": [""VHL Champion""]}",https://www.eliteprospects.com/player/24788/pavel-volodin
Dmitri Vorobyov,1985-10-18 00:00:00,D,37,"Togliatti, RUS",Russia,L,Lada Togliatti,188,"6'2""",108,238 lbs,"{""2004-2005"": [""U20 WJC Silver Medal""], ""2007-2008"": [""RSL Most Goals by Defenseman"", ""World Championship Gold Medal""], ""2010-2011"": [""Spengler Cup Winner  (SKA St. Petersburg)""]}",https://www.eliteprospects.com/player/9603/dmitri-vorobyov
Vladimir Antipov,1978-01-17 00:00:00,LW/RW,45,"Apatity, RUS",Russia,L,-,179,"5'10""",94,207 lbs,"{""1995-1996"": [""U18 EJC All-Star Team"", ""U18 EJC Gold Medal""], ""1996-1997"": [""U20 WJC Bronze Medal""], ""1997-1998"": [""U20 WJC Silver Medal""], ""2001-2002"": [""RSL Champion"", ""World Championship Silver Medal""], ""2002-2003"": [""RSL Champion""], ""2003-2004"": [""Spengler Cup All-Star Team""], ""2004-2005"": [""World Championship Bronze Medal""], ""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL Gagarin Cup Champion"", ""KHL Playoffs Most Game-Winning Goals  (3)""]}",https://www.eliteprospects.com/player/14378/vladimir-antipov
Leos Cermak,1978-03-13 00:00:00,C,45,"Trebic, CZE",Czechia,R,SK Horacka Slavia Trebic,189,"6'2""",100,220 lbs,"{""2000-2001"": [""Czech Extraliga Playoffs Most Penalized Player  (49)""], ""2001-2002"": [""Czech Extraliga Silver Medal""], ""2004-2005"": [""Czech Extraliga Bronze Medal""], ""2006-2007"": [""Czech Extraliga Bronze Medal""], ""2011-2012"": [""Czech Extraliga Playoffs Most Penalized Player  (52)"", ""Czech Extraliga Silver Medal""], ""2013-2014"": [""Czech Extraliga Silver Medal""], ""2014-2015"": [""Czech Extraliga Bronze Medal""], ""2016-2017"": [""Czech Extraliga Champion""], ""2017-2018"": [""Czech Extraliga Champion""]}",https://www.eliteprospects.com/player/15131/leos-cermak
Yegor Dubrovsky,1989-01-18 00:00:00,LW/C,34,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,183,"6'0""",97,214 lbs,"{""2009-2010"": [""MHL All-Star Game""], ""2011-2012"": [""VHL Champion""], ""2012-2013"": [""VHL Champion""]}",https://www.eliteprospects.com/player/24789/yegor-dubrovsky
Artyom Gordeyev,1988-09-15 00:00:00,C,34,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,187,"6'2""",95,209 lbs,"{""2007-2008"": [""RSL Champion"", ""U20 WJC Bronze Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""VHL Champion""], ""2012-2013"": [""VHL Champion""], ""2014-2015"": [""Universiade Gold Medal"", ""VHL Champion""], ""2016-2017"": [""VHL Best Plus/Minus  (25)""]}",https://www.eliteprospects.com/player/15178/artyom-gordeyev
Igor Grigorenko,1983-04-09 00:00:00,RW/C,40,"Togliatti, RUS",Russia,L,Lada Togliatti,179,"5'10""",97,214 lbs,"{""2000-2001"": [""U18 WJC All-Star Team"", ""U18 WJC Gold Medal""], ""2001-2002"": [""U20 WJC Gold Medal""], ""2002-2003"": [""U20 WJC All-Star Team"", ""U20 WJC Best Forward"", ""U20 WJC Gold Medal"", ""U20 WJC Most Goals  (6)"", ""U20 WJC Most Points  (10)""], ""2007-2008"": [""RSL Champion""], ""2009-2010"": [""KHL Most Game-Winning Goals  (8)""], ""2010-2011"": [""KHL First All-Star Team"", ""KHL Gagarin Cup Champion""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Forward of the Month  (November)"", ""KHL Forward of the Week  (Gagarin Cup Quarterfinals)""]}",https://www.eliteprospects.com/player/9566/igor-grigorenko
Konstantin Koltsov,1981-04-17 00:00:00,LW/RW,42,"Minsk, BLR",Belarus,L,Yunost Minsk,183,"6'0""",101,223 lbs,"{""1999-2000"": [""U20 WJC (B) Gold Medal""], ""2001-2002"": [""World Championship (D1|A) Gold Medal""], ""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2012-2013"": [""World Championship Top 3 Player on Team""]}",https://www.eliteprospects.com/player/8679/konstantin-koltsov
Alexei Medvedev,1982-01-13 00:00:00,C,41,"Penza, RUS",Russia,L,Dizel Penza,178,"5'10""",90,198 lbs,"{""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18442/alexei-medvedev
Michal Mikeska,1976-04-28 00:00:00,LW,47,"Zlin, CZE",Czechia,L,SK Horacka Slavia Trebic,191,"6'3""",96,212 lbs,"{""1996-1997"": [""Czechia3 to Czechia2 Promotion  (SK Horacka Slavia Trebic)""], ""2002-2003"": [""Czech Extraliga Silver Medal""], ""2004-2005"": [""Czech and Slovakian Extraliga All-Star Game  (Czech Extraliga)"", ""Czech Extraliga Champion"", ""Czech Extraliga Most Points  (55)"", ""Czech Extraliga Playoffs Most Assists  (10)""], ""2005-2006"": [""Czech and Slovakian Extraliga All-Star Game  (Czech Extraliga)""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18441/michal-mikeska
Ruslan Nurtdinov,1980-03-30 00:00:00,LW,43,"Ufa, RUS",Russia,R,Salavat Yulaev Ufa,176,"5'9""",84,185 lbs,"{""1997-1998"": [""U18 EJC Bronze Medal""], ""2005-2006"": [""Spengler Cup Winner  (Metallurg Magnitogorsk)""], ""2006-2007"": [""RSL Champion""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18446/ruslan-nurtdinov
Alexander Perezhogin,1983-08-10 00:00:00,LW/RW,39,"Ust-Kamenogorsk, KAZ","Russia
    
            / 
            Kazakhstan",L,Torpedo Ust-Kamenogorsk,182,"6'0""",100,220 lbs,"{""2000-2001"": [""U18 WJC Gold Medal""], ""2001-2002"": [""U20 WJC Gold Medal""], ""2002-2003"": [""U20 WJC Gold Medal""], ""2007-2008"": [""RSL Champion"", ""Spengler Cup Most Points  (7 pts)""], ""2008-2009"": [""World Championship Gold Medal""], ""2011-2012"": [""KHL Iron Man Award"", ""World Championship Best Plus/Minus  (+16)"", ""World Championship Gold Medal""], ""2012-2013"": [""KHL All-Star Game""], ""2013-2014"": [""KHL Nadezhda Cup"", ""Nadezhda Cup Best Forward""]}",https://www.eliteprospects.com/player/8669/alexander-perezhogin
Kirill Polozov,1991-01-15 00:00:00,LW/RW,32,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,190,"6'3""",95,209 lbs,"{""2010-2011"": [""KHL Gagarin Cup Champion"", ""MHL All-Star Game"", ""MHL Forward of the Month  (January)"", ""MHL Most Points  (77)""], ""2011-2012"": [""VHL Champion""], ""2012-2013"": [""VHL Champion""], ""2014-2015"": [""VHL Champion""]}",https://www.eliteprospects.com/player/19368/kirill-polozov
Alexander Radulov,1986-07-05 00:00:00,RW,36,"Nizhny Tagil, RUS",Russia,L,Sputnik Nizhny Tagil,186,"6'1""",93,205 lbs,"{""2003-2004"": [""U18 WJC Gold Medal""], ""2004-2005"": [""QMJHL All-Rookie Team"", ""U20 WJC Silver Medal""], ""2005-2006"": [""CHL First All-Star Team"", ""CHL Memorial Cup All-Star Team"", ""CHL Memorial Cup Champion"", ""CHL Memorial Cup Most Valuable Player (Stafford Smythe Trophy)"", ""CHL Player of the Year"", ""CHL Top Scorer Award  (152)"", ""QMJHL First All-Star Team"", ""QMJHL Most Assists  (91)"", ""QMJHL Most Points (Jean Beliveau Trophy)  (152)"", ""QMJHL Most Valuable Player (Michel Bri\u00e8re Trophy)"", ""QMJHL Offensive Player of the Month  (March)"", ""QMJHL Offensive Player of the Month  (February)"", ""QMJHL Offensive Player of the Week  (Mar. 13)"", ""QMJHL Offensive Player of the Week  (Oct. 24)"", ""QMJHL Offensive Player of the Week  (Jan. 23)"", ""QMJHL Offensive Player of the Week  (Feb. 27)"", ""QMJHL Offensive Player of the Year"", ""QMJHL Playoffs Most Assists  (34)"", ""QMJHL Playoffs Most Points  (55)"", ""U20 WJC Silver Medal""], ""2006-2007"": [""AHL Player of the Week  (Oct. 15)"", ""NHL YoungStars Roster"", ""World Championship Bronze Medal""], ""2007-2008"": [""World Championship Gold Medal""], ""2008-2009"": [""KHL All-Star Game"", ""World Championship Gold Medal"", ""World Championship Scorer of the CWG""], ""2009-2010"": [""KHL All-Star Game"", ""KHL First All-Star Team"", ""KHL Forward of the Month  (March)"", ""KHL Golden Stick (Regular Season MVP) Award"", ""KHL Playoffs Most Assists  (11)"", ""KHL Playoffs Most Game-Winning Goals  (3)"", ""KHL Playoffs Most Points  (19)""], ""2010-2011"": [""KHL All-Star Game"", ""KHL First All-Star Team"", ""KHL Forward of the Month  (February)"", ""KHL Gagarin Cup Champion"", ""KHL Golden Stick (Regular Season MVP) Award"", ""KHL Most Assists  (60)"", ""KHL Most Points  (80)"", ""KHL Playoffs Most Assists  (15)""], ""2011-2012"": [""KHL All-Star Game"", ""KHL First All-Star Team"", ""KHL Forward of the Month  (December)"", ""KHL Golden Stick (Regular Season MVP) Award"", ""KHL Most Assists  (38)"", ""KHL Most Points  (63)""], ""2012-2013"": [""KHL All-Star Game"", ""KHL First All-Star Team"", ""KHL Most Assists  (46)"", ""World Championship Top 3 Player on Team""], ""2013-2014"": [""KHL All-Star Game"", ""Spengler Cup All-Star Team""], ""2014-2015"": [""KHL All-Star Game  (Selected, did not play)"", ""KHL Best Plus/Minus  (37)"", ""KHL First All-Star Team"", ""KHL Forward of the Week  (Gagarin Cup Semifinals)"", ""KHL Forward of the Week  (Oct. 5)"", ""KHL Golden Stick (Regular Season MVP) Award"", ""KHL Most Assists  (47)"", ""KHL Most Game-Winning Goals  (10)"", ""KHL Most Points  (71)"", ""KHL Playoffs Most Points  (21)""], ""2015-2016"": [""KHL All-Star Game"", ""KHL First All-Star Team""]}",https://www.eliteprospects.com/player/8794/alexander-radulov
Igor Radulov,1982-08-23 00:00:00,LW,40,"Nizhny Tagil, RUS",Russia,L,Sputnik Nizhny Tagil,185,"6'1""",88,194 lbs,{},https://www.eliteprospects.com/player/12250/igor-radulov
Alexei Shkotov,1984-06-22 00:00:00,RW,38,"Elektrostal, RUS",Russia,L,Kristall Elektrostal,178,"5'10""",83,183 lbs,"{""2001-2002"": [""U18 WJC Silver Medal""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/9577/alexei-shkotov
Andrei Sidyakin,1979-01-20 00:00:00,RW,44,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,183,"6'0""",83,183 lbs,"{""1995-1996"": [""U18 EJC Gold Medal""], ""1997-1998"": [""U20 WJC Silver Medal""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18445/andrei-sidyakin
Andrei Taratukhin,1983-02-22 00:00:00,C,40,"Omsk, RUS","Russia
    
            / 
            Romania",L,Avangard Omsk,187,"6'2""",101,223 lbs,"{""2000-2001"": [""U18 WJC Gold Medal""], ""2001-2002"": [""U20 WJC Gold Medal""], ""2002-2003"": [""U20 WJC Gold Medal""], ""2003-2004"": [""RSL Champion""], ""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2014-2015"": [""KHL Forward of the Week  (Feb. 22)""], ""2019-2020"": [""ERSTE Liga Champion""], ""2020-2021"": [""ERSTE Liga Champion""], ""2021-2022"": [""Erste Liga Champion"", ""Romanian Champion""]}",https://www.eliteprospects.com/player/9569/andrei-taratukhin
Alexei Tereschenko,1980-12-16 00:00:00,C,42,"Mozhaisk, RUS",Russia,L,Dynamo Moskva,177,"5'10""",84,185 lbs,"{""1999-2000"": [""RSL Champion"", ""U20 WJC All-Star Team"", ""U20 WJC Silver Medal""], ""2004-2005"": [""RSL Champion""], ""2005-2006"": [""RSL Champion""], ""2007-2008"": [""RSL Champion"", ""World Championship Gold Medal""], ""2008-2009"": [""KHL All-Star Game"", ""KHL Best Plus/Minus  (41)"", ""KHL First All-Star Team"", ""KHL Forward of the Month  (November)"", ""KHL Most Game-Winning Goals  (11)"", ""World Championship Gold Medal""], ""2009-2010"": [""KHL All-Star Game"", ""KHL Gagarin Cup Champion"", ""World Championship Silver Medal""], ""2011-2012"": [""World Championship Gold Medal"", ""World Championship Scorer of the CWG""], ""2012-2013"": [""World Championship Top 3 Player on Team""]}",https://www.eliteprospects.com/player/15025/alexei-tereschenko
Petr Vampola,1982-01-21 00:00:00,C/LW,41,"Zdar nad Sazavou, CZE",Czechia,L,HC Zdar nad Sazavou,185,"6'1""",91,201 lbs,"{""2000-2001"": [""Czech Extraliga Champion""], ""2002-2003"": [""Czechia2 to Czechia Promotion  (HC Kladno)""], ""2004-2005"": [""Czechia2 Champion""], ""2005-2006"": [""Czech Extraliga Most Valuable Player""], ""2009-2010"": [""World Championship Gold Medal""], ""2010-2011"": [""World Championship Bronze Medal""], ""2012-2013"": [""Czech Extraliga Champion""], ""2013-2014"": [""Czech Extraliga Most Penalized Player  (147)""], ""2015-2016"": [""Czech Extraliga Champion"", ""Czech Extraliga Playoffs Most Penalized Player  (75)""], ""2018-2019"": [""Czechia2 to Czechia Promotion  (Rytiri Kladno)""]}",https://www.eliteprospects.com/player/22788/petr-vampola
Vladimir Vorobyov,1972-11-02 00:00:00,LW,50,"Cherepovets, RUS",Russia,R,Severstal Cherepovets,190,"6'3""",93,205 lbs,"{""1993-1994"": [""Izvestia Trophy Champion""], ""1994-1995"": [""RSL Champion""], ""1997-1998"": [""AHL All-Star Game""], ""2004-2005"": [""RSL Champion""], ""2005-2006"": [""RSL Champion""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18435/vladimir-vorobyov
Dmitri Zyuzin,1987-10-21 00:00:00,C,35,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,183,"6'0""",88,194 lbs,{},https://www.eliteprospects.com/player/10497/dmitri-zyuzin
Wade Dubielewicz,1979-01-30 00:00:00,G,44,"Invermere, BC, CAN",Canada,L,-,180,"5'11""",82,181 lbs,"{""2000-2001"": [""NCAA (WCHA) Goaltending Champion"", ""NCAA (WCHA) Second All-Star Team""], ""2001-2002"": [""NCAA (WCHA) Champion"", ""NCAA (WCHA) First All-Star Team"", ""NCAA (WCHA) Goaltending Champion"", ""NCAA (WCHA) Tournament MVP"", ""NCAA (West) Second All-American Team"", ""NCAA Top Collegiate Player (Hobey Baker Award) Finalist""], ""2002-2003"": [""NCAA (WCHA) Second All-Star Team""], ""2003-2004"": [""AHL All-Rookie Team"", ""AHL All-Star Game"", ""AHL Best GAA  (1.38)"", ""AHL Best Goaltending Duo (Harry Holmes Memorial Award)"", ""AHL Best SVS%  (.946)"", ""AHL Rookie of the Month  (December)"", ""AHL Rookie of the Year (Red Garrett Memorial Award)"", ""AHL Second All-Star Team""], ""2005-2006"": [""AHL Player of the Week  (Jan. 1)""], ""2006-2007"": [""AHL All-Star Game""]}",https://www.eliteprospects.com/player/10875/wade-dubielewicz
Stanislav Galimov,1988-02-12 00:00:00,G,35,"Chelyabinsk, RUS",Russia,L,Traktor Chelyabinsk,190,"6'3""",88,194 lbs,"{""2007-2008"": [""U20 WJC Bronze Medal""], ""2008-2009"": [""KHL Gagarin Cup Champion"", ""KHL Rookie of the Month  (November)""], ""2009-2010"": [""KHL Gagarin Cup Champion""], ""2012-2013"": [""KHL Best SVS%  (.943)""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Goaltender of the Month  (September)""], ""2015-2016"": [""KHL Goaltender of the Week  (Sep. 6)""], ""2016-2017"": [""KHL Goaltender of the Week  (Oct. 16)""], ""2017-2018"": [""KHL Goaltender of the Month  (September)"", ""KHL Goaltender of the Week  (Sep. 11)""]}",https://www.eliteprospects.com/player/14586/stanislav-galimov
Sergei Nikolayev,1972-06-08 00:00:00,G,51,"Saratov, RUS",Russia,L,Kristall Saratov,177,"5'10""",88,194 lbs,"{""2008-2009"": [""KHL Gagarin Cup Champion""]}",https://www.eliteprospects.com/player/14584/sergei-nikolayev
