Player_name,Date_of_Birth,Position,Age,Place_of_Birth,Nation,Grip,Youth_Team,Height_cm,Height_ft,Weight_kg,Weight_lbs,Awards,Player_link
Roman Blagoy,1987-10-25 00:00:00,RW/LW,35,"Kyiv, UKR",Ukraine,R,-,193,"6'4""",99,218 lbs,"{""2003-2004"": [""U18 WJC (D2|A) Gold Medal"", ""Ukraine Silver Medal""], ""2004-2005"": [""U18 WJC (D1|B) Bronze Medal""], ""2006-2007"": [""U20 WJC (D1|A) Bronze Medal""], ""2008-2009"": [""Ukraine Champion""], ""2010-2011"": [""Ukraine Champion""], ""2011-2012"": [""Ukraine Champion""], ""2012-2013"": [""Ukraine Champion"", ""World Championship (D1B) Gold Medal"", ""World Championship (D1B) Most Goals  (6)""], ""2015-2016"": [""VHL Most Game-Winning Goals  (7)"", ""VHL Most Goals  (25)"", ""World Championship (D1B) Gold Medal""], ""2016-2017"": [""Ukraine Champion""], ""2019-2020"": [""Ukraine Forward of the Month  (January)""], ""2021-2022"": [""World Championship (D1B) Bronze Medal""]}",https://www.eliteprospects.com/player/115631/roman-blagoy
Vadim Schegolkov,1994-04-19 00:00:00,LW,29,"Moskva, RUS",Russia,R,Vastom Moskva,186,"6'1""",83,183 lbs,"{""2015-2016"": [""KHL Rookie of the Week  (Dec. 6)"", ""KHL Rookie of the Week  (Feb. 7)""]}",https://www.eliteprospects.com/player/184116/vadim-schegolkov
Alexander Toryanik,1990-01-05 00:00:00,RW,33,"Kharkov, UKR","Russia
    
            / 
            Ukraine",R,Druzhba-78 Kharkov,195,"6'5""",105,231 lbs,"{""2012-2013"": [""World Championship (D1B) Gold Medal""]}",https://www.eliteprospects.com/player/82166/alexander-toryanik
Viktor Zakharov,1994-01-08 00:00:00,LW/C,29,"Kyiv, UKR",Ukraine,L,Sokol Kiev,195,"6'5""",90,198 lbs,"{""2010-2011"": [""U18 WJC (D2|B) Best Face-Off Percentage  (81.03%)"", ""U18 WJC (D2|B) Gold Medal""], ""2011-2012"": [""U20 WJC (D2A) Best Forward"", ""U20 WJC (D2A) Gold Medal"", ""U20 WJC (D2A) Most Goals  (7)"", ""U20 WJC (D2A) Most Points  (9)"", ""U20 WJC (D2A) Top Player on Team""], ""2012-2013"": [""U20 WJC (D1B) Best Face-Off Percentage  (68.69%)"", ""Ukraine Champion"", ""World Championship (D1B) Gold Medal""], ""2014-2015"": [""Kazakhstan Champion""], ""2015-2016"": [""Ukraine Champion"", ""Ukraine Playoffs Most Goals  (4)"", ""Ukraine Playoffs Most Points  (6)"", ""World Championship (D1B) Gold Medal""], ""2016-2017"": [""Ukraine Champion""], ""2017-2018"": [""Ukraine Champion"", ""Ukraine Playoffs Most Goals  (7)""], ""2018-2019"": [""Ukraine Champion"", ""Ukraine First All-Star team"", ""Ukraine Forward of the Month  (February)"", ""Ukraine MVP"", ""Ukraine Playoffs Most Assists  (10)"", ""Ukraine Playoffs Most Goals  (6)"", ""Ukraine Playoffs Most Points  (16)""], ""2019-2020"": [""Ukraine Silver Medal""], ""2020-2021"": [""Ukraine Champion""]}",https://www.eliteprospects.com/player/115780/viktor-zakharov
Dmitri Malgin,1987-07-28 00:00:00,G,35,"Ust-Kamenogorsk, KAZ",Kazakhstan,L,Torpedo Ust-Kamenogorsk,185,"6'1""",92,203 lbs,"{""2006-2007"": [""U20 WJC (D1|B) Gold Medal""], ""2011-2012"": [""Kazakhstan Best Goaltender"", ""Kazakhstan Best SVS%  (.956)""], ""2012-2013"": [""Kazakhstan Champion""], ""2013-2014"": [""Universiade Silver Medal""], ""2014-2015"": [""World Championship (D1A) Gold Medal""], ""2016-2017"": [""Kazakhstan Best Goaltender"", ""Kazakhstan Champion""], ""2017-2018"": [""World Championship (D1A) Bronze Medal""], ""2021-2022"": [""Kazakhstan Goaltender of the Month  (November)""]}",https://www.eliteprospects.com/player/115773/dmitri-malgin
Cam Barker,1986-04-04 00:00:00,D,37,"Winnipeg, MB, CAN",Canada,L,Winnipeg Monarchs MHA,193,"6'4""",100,220 lbs,"{""2002-2003"": [""CHL All-Rookie Team""], ""2003-2004"": [""WHL Champion"", ""WHL Most Goals by Defenseman  (21)""], ""2004-2005"": [""U20 WJC Gold Medal""], ""2005-2006"": [""U20 WJC Gold Medal""], ""2007-2008"": [""AHL All-Star Game""], ""2012-2013"": [""Spengler Cup Winner  (Team Canada)""], ""2015-2016"": [""KHL All-Star Game"", ""KHL Best Defenseman"", ""KHL Most Points by Defenseman  (40)""], ""2020-2021"": [""French Champion  (Rouen)""]}",https://www.eliteprospects.com/player/9198/cam-barker
Vladimir Grebenschikov,1992-08-14 00:00:00,D,30,"Temirtau, KAZ",Kazakhstan,L,Temirtau,182,"6'0""",77,170 lbs,"{""2011-2012"": [""U20 WJC (D1B) Silver Medal""], ""2014-2015"": [""Universiade Silver Medal""], ""2016-2017"": [""Universiade Silver Medal""]}",https://www.eliteprospects.com/player/69609/vladimir-grebenschikov
Vladislav Kolesnikov,1984-07-27 00:00:00,D,38,"Ust-Kamenogorsk, KAZ","Kazakhstan
    
            / 
            Russia",R,Torpedo Ust-Kamenogorsk,180,"5'11""",93,205 lbs,"{""2001-2002"": [""U18 WJC (D1) Gold Medal""], ""2007-2008"": [""World Championship (D1|A) Silver Medal""], ""2008-2009"": [""World Championship (D1|A) Gold Medal""], ""2012-2013"": [""World Championship (D1A) Gold Medal""], ""2015-2016"": [""Kazakhstan Best Defenseman""], ""2017-2018"": [""Kazakhstan Champion""], ""2018-2019"": [""Continental Cup Champion""]}",https://www.eliteprospects.com/player/73853/vladislav-kolesnikov
Mike Lundin,1984-09-24 00:00:00,D,38,"Burnsville, MN, USA",USA,L,-,187,"6'2""",83,183 lbs,"{""2003-2004"": [""NCAA (Hockey East) All-Academic Team"", ""NCAA (Hockey East) Champion""], ""2004-2005"": [""NCAA (Hockey East) All-Academic Team""], ""2005-2006"": [""NCAA (Hockey East) All-Academic Team""], ""2006-2007"": [""NCAA (Hockey East) All-Academic Team"", ""NCAA (Hockey East) Second All-Star Team"", ""NCAA (Hockey East) Sportsmanship (Len Ceglarski Award)""], ""2007-2008"": [""NHL YoungStars Roster""], ""2014-2015"": [""KHL All-Star Game""], ""2015-2016"": [""KHL Defenseman of the Week  (Jan. 3)""]}",https://www.eliteprospects.com/player/14077/mike-lundin
Nikita Tserenok,1993-07-27 00:00:00,D,29,"Moskva, RUS",Russia,L,Serebryanye Akuly Moskva,191,"6'3""",93,205 lbs,"{""2013-2014"": [""MHL All-Star Game""]}",https://www.eliteprospects.com/player/106539/nikita-tserenok
